,surface_x,surface_y,standardized_operator_name,gross_perforated_length,total_proppant,true_vertical_depth,proppant_intensity,frac_fluid_intensity,average_stage_length,average_proppant_per_stage,average_frac_fluid_per_stage,proppant_to_frac_fluid_ratio,frac_fluid_to_proppant_ratio,bin_lateral_length,pad_id,frac_seasoning,horizontal_midpoint_x,horizontal_midpoint_y,horizontal_toe_x,horizontal_toe_y,Slickwater,Crosslink,Linear,relative_well_position_Inner Well,relative_well_position_Outer Well,relative_well_position_Standalone Well,batch_frac_classification_Batch-Concurrent Frac,batch_frac_classification_Batch-Sequential Frac,batch_frac_classification_Non-Batch Frac,well_family_relationship_Infill Child Well,well_family_relationship_Sibling Well,well_family_relationship_Standalone Well,OilPeakRate
0,1383493.751,717329.2368,1121.0,3963.582677,76000.0,8712.598425,19.17457164,570.8121912,232.701026,21654.42857,110012.18295,0.195241956,5.121849946,1.0,102604.0,38.0,1383030.678,714796.3609999999,1382668.9119999998,712798.4321,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,46.62302309
1,1380344.035,711916.2732,1022.0,3179.133858,113000.0,8627.952756,35.54427245,176.4934795,232.701026,21654.42857,110012.18295,0.20139142,4.965454835,1.0,108497.0,38.0,1379965.126,709541.7145,1379630.025,707907.6708,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,59.75000925
2,1379915.895,717845.0063,1304.0,3810.03937,286571.4286,8801.181102,75.21482083,425.5660783,317.5032808,23880.95238,135118.6261,0.17674064,5.65800827,1.0,108526.0,92.0,1379357.25,715381.2327,1378960.372,713530.449,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,10.78571595
3,1383567.4430000002,706640.2009999999,1022.0,3723.425197,106878.9286,8635.826772,28.70446509,117.5566587,338.4931997,9716.266234,39792.12953,0.244175578,4.095413668,1.0,105631.0,38.0,1383099.61,704058.8508,1382727.299,702098.4882,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,123.7976382
4,1378962.585,702623.9787,1022.0,3811.023622,112789.7143,8664.370079,29.59564817,163.4679335,232.701026,21654.42857,110012.18295,0.1810486469999999,5.523377374,1.0,103717.0,38.0,1379546.414,705150.7519,1379987.487,707123.7258,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,102.3095396
5,1381250.408,702293.2344,1022.0,3536.417323,93000.0,8668.307087000001,26.29780128,159.4511075,232.701026,21654.42857,110012.18295,0.164927053,6.063286653,1.0,112397.0,38.0,1382166.864,704872.4045,1382717.737,706720.3298,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,98.63096765
6,1387300.731,706766.1052,1349.0,4575.787402,140558.1429,8711.614173,30.7178045,185.3111091,457.5787402,14055.81429,84794.42384,0.165763427,6.03269381,1.0,113367.0,38.0,1387788.248,709283.6808,1388174.6730000002,711314.474,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,123.286527
7,1388889.586,706536.157,1349.0,4673.228346,91142.85714,8704.724409,19.50318931,130.44506909999998,232.701026,21654.42857,110012.18295,0.14951266,6.688396803,1.0,116673.0,38.0,1389357.383,709030.8139,1389741.421,711055.9529,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,136.21430680000003
8,1390235.998,706384.6691,1349.0,4497.047243999999,89857.14286,8700.787402,19.9813651,141.6182806,232.701026,21654.42857,110012.18295,0.14109312,7.08751779,1.0,104220.0,38.0,1390647.333,708858.2914,1391052.6090000002,710830.3507,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,181.2762185
9,1370168.15,687892.5052,1349.0,4095.472441,90714.28571,8624.015748,22.14989529,157.7222431,232.701026,21654.42857,110012.18295,0.1404360909999999,7.120676692999999,1.0,113216.0,38.0,1370663.579,690453.3355,1371137.329,692373.4091,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,70.76191571
