PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,OilPeakRate
-850422.7298784908,-288827.79218034126,430556.3801828242,3828.908809719922,-3283.5620973943714,810.2815164136434,6250.256396272695,618.0215940881844,169.5277145166501,-679.1998111031469,489.43572577397237,1459.9962359823696,289.05149876933115,71.72027358139367,-19.322010739340065,-7.364233732587983,-32.75210705480302,-5.2489747252317125,0.05262249878915289,0.48675930481477514,0.09127258105804979,-0.47590386261075635,-0.28587104722699935,46.62302309
-842605.2533099478,-251709.819226581,424304.12904284406,3557.7107156611287,-3003.262262719381,690.7333123116277,352.76986549818736,639.6155584389551,128.14143639158232,-620.3540076650881,-369.13548239687606,1202.5339366171459,-147.58824286275728,144.47168503777098,-5.548343108686802,-9.325422288322484,-17.785962623847354,-0.6093512144406729,-0.05659524533172558,-0.7953942253915539,-0.14417180643721467,0.8812395578185025,-0.5824335907190954,59.75000925
-761848.6978551763,-97555.98342629967,425822.19323704904,27528.75756561659,-3990.784067675254,542.7010546805357,376.196100074745,-621.9329033180071,111.74039896825239,-277.5380167278997,-336.18119765542457,1351.8713568682326,-12.716051108999842,-136.49200374492872,52.45202268091082,76.18849650297953,4.383547178629244,-0.8970856688857273,-0.1390054817787922,0.9554856338748808,-0.038597328145428475,-0.10031701911411589,-0.3377258630068678,10.78571595
-854503.9193261028,-253622.9137959311,428555.95793204586,-67544.44413280532,-580.9454899872892,1912.31070465881,3065.66808241419,-1934.1223037406214,-466.784619175767,-997.9917794059983,-123.91821641298333,1470.0727474292194,-54.31603240071649,167.5194333121208,-3.5203339682121935,79.38006863974361,-8.803529285801531,-1.7844673067436925,-0.3472911197377444,0.6230125676749322,0.06694305605118854,-0.43278231630809755,-0.5268559665031092,123.7976382
-850125.4619953919,-248521.6738913938,422350.1524842562,3673.5247350896216,1956.2772695000663,-1873.2860241790393,5144.924945764907,648.1217813046454,-205.25684708529712,-525.683989807953,252.7182107916024,-1357.6724660848124,-143.0311724723181,142.95208458348182,-4.155955098763779,-8.876662595572984,-17.064022044955056,0.012265225612812923,-0.150113328962139,-0.8436036960485286,-0.12229690814375942,0.862112138190638,-0.5567530377068108,102.3095396
-859365.381518898,-266094.0198848424,426502.6898219638,3831.4571713589985,1884.9947310349582,-2150.441245117401,-3537.876552143269,684.2274688131209,-84.46374170197146,-617.3376873886367,101.0625697500341,-1301.339090304599,-144.79718796897973,140.53433611576264,-4.740013662572529,-9.131467262459802,-21.22872566116996,0.30233314708434195,-0.11387990470882756,-0.7345295598085988,1.1262146932958201,0.47903324280456233,-0.4749078968269469,98.63096765
-834002.1982339546,-225655.52547341152,437747.4041845266,-22422.24464139544,3048.5983968796213,-1352.299787166011,-4567.176436517767,-3536.9220988050424,-806.0548556750559,-509.103732496332,708.737113054576,-1365.4605590219182,-75.31729095596577,-180.5443264872549,9.762127168586455,197.85437580017447,-0.07896234973839328,-1.1868157235521168,-0.5363494793479175,0.6407998541385299,0.0778901812546633,-0.44845203377723397,-0.47914915258328783,123.286527
-855079.8942622241,-270169.07684132317,439983.5737719031,3908.5424343080645,2033.9403023428156,-1707.9525694793888,-7806.944588171591,670.1772919421733,-159.38852442746443,-554.2814404742096,1261.821303804113,-1373.9851231802436,-120.2022460373788,-178.56563998410851,7.722885183722246,-17.067320582086708,-10.917086915702669,0.9459462589900561,-0.07320207363683008,0.5820484188550331,0.0932009635458393,-0.4820568858496548,-0.3836778237307406,136.21430680000003
-856184.4815319192,-271098.19992145256,442191.98787919834,3893.563581607053,1954.9576402571806,-1712.2769460334907,4644.141787813196,656.0445860459866,-204.9424367482967,-540.0009287942256,1014.7943805734831,-1341.7176424616955,-116.925390458528,-178.19993593229927,9.709474111333806,-16.354133248020364,-12.690679576565001,1.393399824363624,-0.09261415692590524,-0.8586427457415812,-0.11143868561462549,0.8847127104289613,-0.5227865391544431,181.2762185
-880313.0628987931,-258949.37741259843,403577.9385565626,3748.632676342711,1992.6206641552114,-1795.235894534827,-4350.369486123067,640.1339156767999,-95.72150515198952,-454.6255128214183,696.6331405452249,-1327.7244973023382,-107.49830977493075,-181.02840333870677,8.718919008556064,-16.299518975232818,-16.290563089479477,1.2298693265315048,-0.06132722115613378,-0.8299031253052878,-0.11536295184007307,0.889765527126983,-0.5270085002605717,70.76191571
